Name	Label	Concept	Required	Limit	Predicate Type	data_label
AIANHH	American Indian Trust Land/Hawaiian Home Land	Selectable Geographies	not required		int	American Indian Trust Land/Hawaiian Home Land
AIHHTLI	American Indian Trust Land/Hawaiian Home Land	Selectable Geographies	not required		string	American Indian Trust Land/Hawaiian Home Land
AINDNR	AINDNR FIPS code	Selectable Geographies	not required		int	AINDNR FIPS code
AITSCE	AITSCE FIPS code	Selectable Geographies	not required		int	AITSCE FIPS code
ANRC	Alaska Native Regional Corporation (FIPS)	Selectable Geographies	not required		int	Alaska Native Regional Corporation (FIPS)
BST	State (FIPS Code)	Selectable Geographies	not required		int	State (FIPS Code)
BTBG	Tribal Block Group	Selectable Geographies	not required		int	Tribal Block Group
BTTR	Tribal Tract	Selectable Geographies	not required		string	Tribal Tract
CBSA	Metropolitan and Micropolitan Statistical Area	Selectable Geographies	not required		int	Metropolitan and Micropolitan Statistical Area
CD	Current Congressional District	Selectable Geographies	not required		int	Current Congressional District
CNECTA	CNECTA FIPS code	Selectable Geographies	not required		int	CNECTA FIPS code
COMPONENT	Geographic Component	Selectable Geographies	not required		string	Geographic Component
CONCIT	CONCIT FIPS code	Selectable Geographies	not required		int	CONCIT FIPS code
COUNTY	County (FIPS Code)	Selectable Geographies	not required		int	County (FIPS Code)
COUSUB	County Subdivision	Selectable Geographies	not required		int	County Subdivision
CSA	Combined Statistical Area	Selectable Geographies	not required		int	Combined Statistical Area
DADSID	Geographic Identifier	Selectable Geographies	not required		string	Geographic Identifier
DIVISION	Division	Selectable Geographies	not required		int	Division
DP02_0001E	HOUSEHOLDS BY TYPE!!Total households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	total_households_e
DP02_0001M	HOUSEHOLDS BY TYPE!!Total households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	total_households_m
DP02_0001PE	HOUSEHOLDS BY TYPE!!Total households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	total_households_pe
DP02_0001PM	HOUSEHOLDS BY TYPE!!Total households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	total_households_pm
DP02_0002E	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_e
DP02_0002M	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_m
DP02_0002PE	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_pe
DP02_0002PM	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_pm
DP02_0003E	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_children_e
DP02_0003M	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_children_m
DP02_0003PE	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_children_pe
DP02_0003PM	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	family_households_children_pm
DP02_0004E	HOUSEHOLDS BY TYPE!!Total households!!Married-couple family	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_households_e
DP02_0004M	HOUSEHOLDS BY TYPE!!Total households!!Married-couple family	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_households_m
DP02_0004PE	HOUSEHOLDS BY TYPE!!Total households!!Married-couple family	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_households_pe
DP02_0004PM	HOUSEHOLDS BY TYPE!!Total households!!Married-couple family	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_households_pm
DP02_0005E	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_nochildren_households_e
DP02_0005M	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_nochildren_households_m
DP02_0005PE	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_nochildren_households_pe
DP02_0005PM	HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	married_nochildren_households_pm
DP02_0006E	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"
DP02_0006M	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"
DP02_0006PE	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"
DP02_0006PM	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family"
DP02_0007E	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"
DP02_0007M	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"
DP02_0007PE	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"
DP02_0007PM	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"
DP02_0008E	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"
DP02_0008M	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"
DP02_0008PE	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"
DP02_0008PM	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family"
DP02_0009E	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"
DP02_0009M	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"
DP02_0009PE	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"
DP02_0009PM	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"
DP02_0010E	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households
DP02_0010M	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households
DP02_0010PE	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households
DP02_0010PM	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households
DP02_0011E	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone
DP02_0011M	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone
DP02_0011PE	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone
DP02_0011PM	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone
DP02_0012E	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over
DP02_0012M	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over
DP02_0012PE	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over
DP02_0012PM	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over
DP02_0013E	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
